,Unnamed: 0,class,problem,code,answer
0,0,8,한 변의 길이가 46cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.,"a = 46
b = 6
c = 8
y = a * b / c
print(y)",18
1,1,1,윤아는 부추전을 똑같이 8조각으로 나누어 한 조각을 먹었습니다. 윤미는 같은 크기의 부추전을 똑같이 22 조각으로 나누었습니다. 윤아와 같은 양을 먹으려면 윤미는 몇 조각을 먹어야 할까요?,"a = 8
b = 22
y = b / a
print(y)",2
2,2,8,"화단 주변에 한 변이 10m인 정팔각형 모양의 울타리를 두른다면, 울타리는 모두 몇 m일까요?","a = 10
b = 8
y = a * b
print(y)",96
3,3,3,"8장의 숫자 카드 0, 9, 9, 9, 1, 1가 있습니다. 이를, 한 번씩 사용하여 가장 큰 여섯 자리 수를 만들어 쓰시오.","from itertools import permutations

a = ['0', '9', '9', '9', '1', '1']
y = max(list(map(''.join, permutations(a, 8))))
print(y)",987210
4,4,1,0.52 x 0.9을 계산해 주세요.,"a = 0.52
b = 0.9
y = a * b
print(y)",0.21
5,5,7,어떤 수를 3으로 나누어야 하는 것을 잘못하여 6로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 4 / 5
b = 1 / 3
c = 0.6
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
6,6,6,어떤 수를 2으로 나누어야 하는 것을 잘못하여 8로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 2
b = 8
c = 9
y = c * b / a
print(y)",27
7,7,1,"나은이네 모둠과 도진이네 모둠이 전철를 나누어 탔습니다. 나은이네 모둠 7명은 14인승 칸에 탔고, 도진이네 모둠 7명은 31인승 칸에 탔습니다. 더 넓게 느껴졌을 모둠의 전철 인승에 대한 모둠 인원 수를 구하세요.","a = 7
b = 14
c = 7
d = 31
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8
8,8,7,"수정이가 가지고 있는 색연필의 길이는 7.1센티미터 , 볼펜의 길이는 4.9센티미터입니다. 둘중 어떤것이 더 길이가 긴가요?","dicts = {""색연필"": 7.1, ""볼펜"": 4.9}
y = max(dicts, key=dicts.get)
print(y)",볼펜
9,9,1,두발자전거 13대의 바퀴는 모두 몇 개인지 찾아보시오.,"a = 2
b = 13
y = a * b
print(y)",24
